Year,Rk,Pk,Tm,name,college,Yrs,Totals_G,Totals_MP,Totals_PTS,Totals_TRB,Totals_AST,Shooting_FG,Shooting__3P,Shooting_FT,Per_Game_MP,Per_Game_PTS,Per_Game_TRB,Per_Game_AST,Advanced_WS,Advanced_WS48,Advanced_BPM,Advanced_VORP
1947,18,,BLB,Chick Reiser,NYU,3,171,,1773,,346,0.321,,0.772,,10.4,,2,13.2,,,
1947,19,,BLB,John Rusinko,Penn State,,,,,,,,,,,,,,,,,
1947,20,,BOS,Bob Alemeida,,,,,,,,,,,,,,,,,,
1947,21,,BOS,Hank Biasatti,Long Island University,1,6,,6,,0,0.4,,0.5,,1,,0,0.1,,,
1947,22,,BOS,Johnny Ezersky,Rhode Island,3,135,,1031,,169,0.288,,0.669,,7.6,,1.3,1.5,,,
1947,23,,BOS,George Felt,Northwestern,,,,,,,,,,,,,,,,,
1947,24,,BOS,Jack Hewson,Temple,1,24,,65,,1,0.247,,0.7,,2.7,,0,0.1,,,
1947,25,,BOS,John Kelly,Notre Dame,,,,,,,,,,,,,,,,,
1947,26,,BOS,George Petrovick,,,,,,,,,,,,,,,,,,
1947,27,,BOS,Gene Stump,DePaul,3,148,,783,,118,0.303,,0.692,,5.3,,0.8,1.1,,,
1947,28,,CHS,Ralph Bishop,Washington,,,,,,,,,,,,,,,,,
1947,29,,CHS,Jimmy Darden,Denver,1,26,,211,,67,0.321,,0.688,,8.1,,2.6,-0.2,,,
1947,30,,CHS,Hank Decker,West Texas A&M University,,,,,,,,,,,,,,,,,
1947,31,,CHS,Andy Phillip,Illinois,11,701,15378,6384,2395,3759,0.368,,0.695,32.2,9.1,4.4,5.4,53.3,0.077,,
1947,32,,CHS,Jim Pollard,Stanford,7,438,9391,5762,2487,1417,0.36,,0.75,35.4,13.2,7.8,3.2,34.9,0.093,,
1947,33,,CHS,Ben Schadler,Northwestern,1,37,,56,,6,0.198,,0.769,,1.5,,0.2,-0.5,,,
1947,34,,CHS,Don Smith,Minnesota,1,8,,6,,2,0.154,,0.667,,0.8,,0.3,-0.1,,,
1947,35,,CHS,Jack Stone,Kansas State,,,,,,,,,,,,,,,,,
1947,36,,CHS,Gene Vance,Illinois,5,175,118,1445,109,403,0.315,,0.687,16.9,8.3,3,2.3,10.3,-0.008,,
1947,37,,NYK,Andy Duncan,William & Mary,3,136,,746,30,101,0.408,,0.596,,5.5,2.1,0.7,6.8,,,
1947,38,,NYK,Ray Evans,Kansas,,,,,,,,,,,,,,,,,
1947,39,,NYK,Ed Golub,,,,,,,,,,,,,,,,,,
1947,40,,NYK,Garland Head,Texas Tech,,,,,,,,,,,,,,,,,
1947,41,,NYK,Ron Livingston,Saint Mary's,,,,,,,,,,,,,,,,,
1947,42,,NYK,Dan Miller,Saint Louis,,,,,,,,,,,,,,,,,
1947,43,,NYK,Wat Misaka,Utah,1,3,,7,,0,0.231,,0.333,,2.3,,0,0,,,
1947,44,,NYK,Carl Reichert,Findlay (OH),,,,,,,,,,,,,,,,,
1947,45,,NYK,Tom Tomlinson,SMU,,,,,,,,,,,,,,,,,
1947,46,,PHW,Norman Butz,Saint Joseph's,,,,,,,,,,,,,,,,,
1947,47,,PHW,Jim Kaeding,York College of Pennsylvania,,,,,,,,,,,,,,,,,
1947,48,,PHW,Ed Koffenberger,Duke,,,,,,,,,,,,,,,,,
1947,49,,PHW,Jim Pollard,Stanford,7,438,9391,5762,2487,1417,0.36,,0.75,35.4,13.2,7.8,3.2,34.9,0.093,,
1947,50,,PIT,Bob Alamo,Santa Clara,,,,,,,,,,,,,,,,,
1947,51,,PIT,George Brown,,,,,,,,,,,,,,,,,,
1947,52,,PIT,Dick Ives,Iowa,,,,,,,,,,,,,,,,,
1947,53,,PIT,Herman Knoche,Washington & Jefferson College,,,,,,,,,,,,,,,,,
1947,54,,PIT,Fritz Nagy,University of Akron,1,50,,253,,68,0.347,,0.67,,5.1,,1.4,2.1,,,
1947,55,,PIT,Jack Walton,DePaul,,,,,,,,,,,,,,,,,
1947,56,,PRO,Joe Barry,,,,,,,,,,,,,,,,,,
1947,57,,PRO,Dick Furey,University of St. Thomas,,,,,,,,,,,,,,,,,
1947,58,,PRO,Bob Hubbard,Springfield College,2,62,,224,,29,0.249,,0.674,,3.6,,0.5,-0.9,,,
1947,59,,PRO,Bob Joyce,Bates College,,,,,,,,,,,,,,,,,
1947,60,,PRO,Roy Lipscomb,St. Mary's College of Maryland,,,,,,,,,,,,,,,,,
1947,61,,PRO,John Mills,Hofstra,,,,,,,,,,,,,,,,,
1947,62,,PRO,Al Nichols,Rhode Island,,,,,,,,,,,,,,,,,
1947,63,,STB,Jack Knopf,Louisville,,,,,,,,,,,,,,,,,
1947,64,,STB,Bob Kurland,Oklahoma State,,,,,,,,,,,,,,,,,
1947,65,,STB,Paul Napolitano,San Francisco,1,1,,0,,0,,,,,0,,0,0,,,
1947,66,,STB,Jim Pollard,Stanford,7,438,9391,5762,2487,1417,0.36,,0.75,35.4,13.2,7.8,3.2,34.9,0.093,,
1947,67,,STB,Bill Strannigan,Wyoming,,,,,,,,,,,,,,,,,
1947,68,,STB,Herb Wilkinson,Iowa,,,,,,,,,,,,,,,,,
1947,69,,TRH,Frank Broyles,Georgia Tech,,,,,,,,,,,,,,,,,
1947,70,,TRH,Paul Hoffman,Purdue,6,317,5130,3234,1129,911,0.34,,0.676,28.7,10.2,5.1,2.9,12.9,0.031,,
1947,71,,TRH,Wimpy Quinn,Oregon,,,,,,,,,,,,,,,,,
1947,72,,TRH,Red Rocha,Oregon State,9,586,10507,6362,2747,1153,0.37,,0.759,29.9,10.9,6.6,2,47.9,0.109,,
1947,73,,WSC,Bill Burke,St. Mary's College of Maryland,,,,,,,,,,,,,,,,,
1947,74,,WSC,Paul Cloyd,Wisconsin,1,7,,19,,2,0.269,,0.625,,2.7,,0.3,-0.1,,,
1947,75,,WSC,John Mandic,Oregon State,2,81,,335,,88,0.316,,0.66,,4.1,,1.1,2.4,,,
1947,76,,WSC,Saul Mariaschin,Harvard University,1,43,,333,,60,0.27,,0.709,,7.7,,1.4,1.1,,,
1947,77,,WSC,Abel Rodriguez,San Francisco,,,,,,,,,,,,,,,,,
1947,78,,WSC,Irv Rothenberg,Long Island University,3,131,,709,,90,0.267,,0.606,,5.4,,0.7,3.6,,,
1947,79,,WSC,Jack Tingle,Kentucky,2,39,,91,,8,0.259,,0.515,,2.3,,0.2,0.4,,,
1947,80,,WSC,Matt Zunic,George Washington,1,56,,273,,50,0.303,,0.706,,4.9,,0.9,2,,,
1948,1,1,PRO,Andy Tonkovich,Marshall,1,17,,44,,10,0.268,,0.667,,2.6,,0.6,-0.4,,,
1948,2,2,INJ,George Kok,Arkansas,,,,,,,,,,,,,,,,,
1948,3,3,BOS,George Hauptfuhrer,Harvard University,,,,,,,,,,,,,,,,,
1948,4,4,NYK,Dolph Schayes,NYU,15,996,29800,18438,11256,3072,0.38,,0.849,34.4,18.5,12.1,3.1,142.4,0.192,,
1948,5,5,CHS,Ed Mikan,DePaul,6,323,2779,2163,1093,296,0.32,,0.756,20.3,6.7,5.5,0.9,3.6,0,,
1948,6,6,BLB,Walt Budko,Columbia University,4,253,1126,2037,684,471,0.342,,0.757,17.9,8.1,5.4,1.9,13.7,0.065,,
1948,7,7,STB,Robert Gale,Cornell,,,,,,,,,,,,,,,,,
1948,8,8,FTW,Ward Williams,Indiana,1,53,,215,,82,0.237,,0.75,,4.1,,1.5,1.8,,,
1948,9,9,MNL,Chuck Hanger,California,,,,,,,,,,,,,,,,,
1948,10,10,ROC,Bobby Wanzer,Seton Hall,9,568,12128,6924,1979,1830,0.393,,0.802,32.5,12.2,4.5,3.2,63.9,0.156,,
1948,11,11,PHW,Don Ray,Western Kentucky,1,61,,364,,60,0.323,,0.698,,6,,1,1.3,,,
1948,12,12,WSC,Jack Nichols,Washington,9,505,10703,5269,2793,965,0.368,,0.752,26.9,10.4,6.9,1.9,24.8,0.061,,
1948,13,,BLB,Jim Black,Occidental College,,,,,,,,,,,,,,,,,
1948,14,,BLB,Darrell Brown,Humboldt State University,1,3,,4,,0,0.333,,0,,1.3,,0,0,,,
1948,15,,BLB,Robert Carroll,West Virginia,,,,,,,,,,,,,,,,,
1948,16,,BLB,Jake Carter,East Texas State University,1,24,,82,,24,0.307,,0.679,,3.4,,1,0.7,,,
1948,17,,BLB,Marvin English,Newberry College,,,,,,,,,,,,,,,,,
1948,18,,BLB,Gene Fellmoth,Wittenberg University,,,,,,,,,,,,,,,,,
1948,19,,BLB,J.W. Fullerton,Arkansas State University,,,,,,,,,,,,,,,,,
1948,20,,BLB,Marshall Gemberling,Lebanon Valley College,,,,,,,,,,,,,,,,,
1948,21,,BLB,Vince Hansen,Washington State,,,,,,,,,,,,,,,,,
1948,22,,BLB,Joe Holland,Kentucky,3,186,737,1084,510,327,0.331,,0.621,13.4,5.8,4.2,1.8,1.9,0.037,,
1948,23,,BLB,Wayne Jones,American International College,,,,,,,,,,,,,,,,,
1948,24,,BLB,Dan Kraus,Georgetown,1,13,,21,,7,0.143,,0.458,,1.6,,0.5,-0.3,,,
1948,25,,BLB,Herb Krautblatt,Rider University,1,10,,13,,4,0.222,,0.455,,1.3,,0.4,-0.1,,,
1948,26,,BLB,Paul Marcincin,Moravian College,,,,,,,,,,,,,,,,,
1948,27,,BOS,Johnny Bach,Fordham,1,34,,119,,25,0.286,,0.68,,3.5,,0.7,0.8,,,
1948,28,,BOS,Norman Carey,Oregon State,,,,,,,,,,,,,,,,,
1948,29,,BOS,Bob Curran,Holy Cross,,,,,,,,,,,,,,,,,
1948,30,,BOS,Neil Dooley,Colgate,,,,,,,,,,,,,,,,,
1948,31,,BOS,Jack Hauser,Denver,,,,,,,,,,,,,,,,,
1948,32,,BOS,Marshall Hawkins,Tennessee,1,39,,152,,51,0.282,,0.689,,3.9,,1.3,-0.1,,,
1948,33,,BOS,Tom Kelly,NYU,1,27,,191,,38,0.335,,0.616,,7.1,,1.4,1.4,,,
1948,34,,BOS,Murray Mitchell,Sam Houston State University,1,2,,2,,2,0.333,,,,1,,1,0,,,
1948,35,,BOS,Guinn Phillips,Texas Wesleyan University,,,,,,,,,,,,,,,,,
1948,36,,BOS,Ray Wehde,Iowa State,,,,,,,,,,,,,,,,,
1948,37,,CHS,Hook Dillon,UNC,1,22,,36,,5,0.182,,0.727,,1.6,,0.2,-0.4,,,
1948,38,,CHS,Whitey Kachan,DePaul,1,52,,112,,37,0.268,,0.643,,2.2,,0.7,0.7,,,
1948,39,,CHS,Mickey Marty,Loras College,,,,,,,,,,,,,,,,,
1948,40,,CHS,Ed Mills,Wisconsin,,,,,,,,,,,,,,,,,
1948,41,,CHS,Don Reagan,Murray State,,,,,,,,,,,,,,,,,
1948,42,,CHS,Joe Shafer,Wheaton College,,,,,,,,,,,,,,,,,
1948,43,,CHS,Odie Spears,Western Kentucky,8,479,8104,4161,1409,917,0.366,,0.763,22.9,8.7,4,1.9,27.6,0.111,,
1948,44,,CHS,Fred Weber,Siena College,,,,,,,,,,,,,,,,,
1948,45,,FTW,Bobby Cook,Wisconsin,1,51,,587,,158,0.358,,0.79,,11.5,,3.1,1.9,,,
1948,46,,FTW,Link Richmond,Arizona,,,,,,,,,,,,,,,,,
1948,47,,FTW,Kenny Rollins,Kentucky,3,168,426,817,45,344,0.309,,0.75,9.9,4.9,1,2,4.2,0.011,,
1948,48,,FTW,Murray Wier,Iowa,1,56,,429,,107,0.327,,0.693,,7.7,,1.9,1.6,,,
1948,49,,INJ,Reede Berg,Oregon,,,,,,,,,,,,,,,,,
1948,50,,INJ,Jack Coleman,LSU,,,,,,,,,,,,,,,,,
1948,51,,INJ,Alex Hannum,USC,8,516,7713,3078,2013,857,0.354,,0.629,19.8,6,4.5,1.7,11.4,0.028,,
1948,52,,INJ,Norman Kohler,UNC,,,,,,,,,,,,,,,,,
1948,53,,INJ,Andy Kostecka,Georgetown,1,21,,135,,14,0.418,,0.614,,6.4,,0.7,1.7,,,
1948,54,,INJ,Ray Lumpp,NYU,5,300,2739,2462,391,654,0.366,,0.767,23.4,8.2,2.2,2.2,15.5,0.067,,
1948,55,,INJ,Bob Paxton,UNC,,,,,,,,,,,,,,,,,
1948,56,,INJ,Jack Phoenix,Idaho,,,,,,,,,,,,,,,,,
1948,57,,INJ,Dick Wehr,Rice University,1,9,,12,,3,0.238,,0.333,,1.3,,0.3,-0.1,,,
1948,58,,MNL,Cliff Crandall,Oregon State,,,,,,,,,,,,,,,,,
1948,59,,MNL,Arnie Ferrin,Utah,3,178,,1037,271,278,0.332,,0.686,,5.8,4,1.6,7.6,,,
1948,60,,MNL,Earl Gardner,DePauw University,1,50,,89,,19,0.376,,0.464,,1.8,,0.4,0.7,,,
1948,61,,MNL,Dee Gibson,Western Kentucky,1,44,,281,,126,0.314,,0.718,,6.4,,2.9,2.7,,,
1948,62,,MNL,Ken Jastrow,Denver,,,,,,,,,,,,,,,,,
1948,63,,MNL,Bob Lowther,LSU,,,,,,,,,,,,,,,,,
1948,64,,MNL,Johnny Orr,Beloit College,1,34,,92,,20,0.339,,0.857,,2.7,,0.6,-0.1,,,
1948,65,,MNL,Junior Skogland,Gustavus Adolphus,,,,,,,,,,,,,,,,,
1948,66,,MNL,Quentin Stinson,Southern Illinois,,,,,,,,,,,,,,,,,
1948,67,,NYK,Gene Berce,Marquette,1,3,,10,,2,0.313,,0,,3.3,,0.7,-0.1,,,
1948,68,,NYK,Leland Byrd,West Virginia,,,,,,,,,,,,,,,,,
1948,69,,NYK,Harry Gallatin,Truman State University,10,682,15813,8843,6684,1208,0.398,,0.773,31.9,13,11.9,1.8,78.4,0.182,,
1948,70,,NYK,Keith Grimes,East Central University,,,,,,,,,,,,,,,,,
1948,71,,NYK,Mel McGaha,Arkansas,1,51,,176,,51,0.318,,0.591,,3.5,,1,1.5,,,
1948,72,,NYK,Ed Peterson,Cornell,2,115,,804,288,99,0.384,,0.627,,7,5.4,0.9,6.6,,,
1948,73,,NYK,Tex Ritter,Eastern Kentucky University,3,151,,789,65,145,0.348,,0.674,,5.2,1.9,1,5.7,,,
1948,74,,NYK,Dick Shrider,Ohio University,1,4,,1,,2,,,0.333,,0.3,,0.5,0,,,
1948,75,,NYK,John Stanich,UCLA,,,,,,,,,,,,,,,,,
1948,76,,PHW,William Brown,Maryland,,,,,,,,,,,,,,,,,
1948,77,,PHW,Hugh Compton,Louisville,,,,,,,,,,,,,,,,,
1948,78,,PHW,Joe Nelson,BYU,,,,,,,,,,,,,,,,,
1948,79,,PHW,Clint Pace,Pepperdine,,,,,,,,,,,,,,,,,
1948,80,,PHW,Roy Pugh,SMU,1,23,,32,,9,0.255,,0.316,,1.4,,0.4,-0.2,,,
1948,81,,PHW,Tom Short,Kansas Wesleyan,,,,,,,,,,,,,,,,,
1948,82,,PHW,Joe Wahl,University of Akron,,,,,,,,,,,,,,,,,
1948,83,,PHW,Andy Wolfe,California,,,,,,,,,,,,,,,,,
1948,84,,PRO,Al Bennett,Oklahoma State,,,,,,,,,,,,,,,,,
1948,85,,PRO,Jack Coleman,Louisville,9,633,16479,6721,5186,1749,0.416,,0.695,33.1,10.6,9.2,2.8,47.7,0.107,,
1948,86,,PRO,Ed Faber,Trinity University,,,,,,,,,,,,,,,,,
1948,87,,PRO,Verl Heap,Arizona State,,,,,,,,,,,,,,,,,
1948,88,,PRO,Otto Snellbacher,Kansas,,,,,,,,,,,,,,,,,
1948,89,,PRO,Brady Walker,BYU,4,228,699,1603,549,328,0.38,,0.633,20,7,5.4,1.4,6.9,0.066,,
1948,90,,ROC,Alex Athas,Tulane,,,,,,,,,,,,,,,,,
1948,91,,ROC,Bill Gabor,Syracuse,6,307,3680,2997,448,626,0.344,,0.737,19.4,9.8,1.8,2,11.2,0.081,,
1948,92,,ROC,Ed Keim,Niagara University,,,,,,,,,,,,,,,,,
1948,93,,ROC,Leo Kubiak,Bowling Green,1,62,,710,,201,0.326,,0.814,,11.5,,3.2,0.5,,,
1948,94,,ROC,Johnny Macknowski,Seton Hall,2,117,,823,110,134,0.317,,0.727,,7,1.9,1.1,2.7,,,
1948,95,,ROC,Lionel Melamed,City College of New York,,,,,,,,,,,,,,,,,
1948,96,,ROC,Hank O'Keefe,Canisius,,,,,,,,,,,,,,,,,
1948,97,,ROC,Warren Stickel,Syracuse,,,,,,,,,,,,,,,,,
1948,98,,ROC,Paul Yesavi,Niagara University,,,,,,,,,,,,,,,,,
1948,99,,STB,Jack Burmaster,Illinois,1,61,,598,,179,0.333,,0.681,,9.8,,2.9,-0.4,,,
1948,100,,STB,Gordon Flick,Drake University,,,,,,,,,,,,,,,,,
1948,101,,STB,John Hoppin,Dickinson College,,,,,,,,,,,,,,,,,
1948,102,,STB,Dan London,Washington University in Saint Louis,,,,,,,,,,,,,,,,,
1948,103,,STB,D. Miller,Saint Louis,,,,,,,,,,,,,,,,,
1948,104,,STB,Easy Parham,Texas Wesleyan University,3,133,,712,9,285,0.316,,0.522,,5.4,1.3,2.1,0.4,,,
1948,105,,STB,D.C. Wilcutt,Saint Louis,2,59,,128,,80,0.339,,0.733,,2.2,,1.4,1.1,,,
1948,106,,WSC,Fred Bartell,Oregon,,,,,,,,,,,,,,,,,
1948,107,,WSC,Ed Hughes,San Jose State,,,,,,,,,,,,,,,,,
1948,108,,WSC,Thorton Jenkins,Missouri,,,,,,,,,,,,,,,,,
1948,109,,WSC,Leo Katkaveck,NC State,2,107,,457,,136,0.317,,0.685,,4.3,,1.3,1.9,,,
1948,110,,WSC,C.T. Parker,Louisiana Tech,,,,,,,,,,,,,,,,,
1948,111,,WSC,Jack Parkinson,Kentucky,1,4,,3,,2,0.083,,1,,0.8,,0.5,-0.2,,,
1948,112,,WSC,Don Walker,Sam Houston State University,,,,,,,,,,,,,,,,,
1948,113,,WSC,Al Williams,Arkansas,,,,,,,,,,,,,,,,,
1949,1,,MNL,Vern Mikkelsen,Hamline University,10,699,18443,10063,5940,1515,0.403,,0.766,32.5,14.4,9.4,2.2,83.4,0.17,,
1949,2,,STB,Ed Macauley,Saint Louis,10,641,18071,11234,4325,2079,0.436,,0.761,35.7,17.5,7.5,3.2,100.4,0.196,,
1949,3,1,PRO,Howie Shannon,Kansas State,2,122,,1323,,299,0.355,,0.795,,10.8,,2.5,6.3,,,
1949,4,2,INO,Alex Groza,Kentucky,2,130,,2925,709,318,0.474,,0.756,,22.5,10.7,2.4,35.9,,,
1949,5,3,FTW,Bob Harris,Oklahoma State,5,325,5768,2209,1824,502,0.385,,0.628,27.9,6.8,6.9,1.5,15.7,0.081,,
1949,6,4,BOS,Tony Lavelli,Yale,2,86,,591,59,63,0.367,,0.853,,6.9,2,0.7,4.7,,,
1949,7,5,PHW,Vern Gardner,Utah,3,151,507,1339,349,245,0.344,,0.748,18.8,8.9,4,1.6,7.4,-0.006,,
1949,8,6,BLB,Ron Livingstone,Wyoming,2,117,,732,297,217,0.286,,0.692,,6.3,4.7,1.9,2.4,,,
1949,9,7,NYK,Dick McGuire,St. John's,11,738,17170,5921,2784,4205,0.389,,0.644,28.3,8,4.2,5.7,50.9,0.115,,
1949,10,8,WSC,Wah Wah Jones,Kentucky,3,140,1320,1428,408,429,0.355,,0.757,22.8,10.2,5.1,3.1,8.8,0.028,,
1949,11,9,CHS,Jack Kerris,Loyola Chicago,4,271,3572,2057,1286,667,0.363,,0.662,26.5,7.6,6.3,2.5,17.8,0.108,,
1949,12,10,ROC,Pep Saul,Seton Hall,6,384,6219,2152,683,596,0.36,,0.739,23,5.6,2,1.6,9.8,0.06,,
1949,13,,BOS,George Kaftan,Holy Cross,5,212,1335,1594,424,399,0.37,,0.65,17.8,7.5,3.1,1.9,8.9,0.057,,
1949,14,,CHS,Ralph Beard,Kentucky,2,126,,2006,251,551,0.366,,0.77,,15.9,3.8,4.4,11.2,,,
1949,15,,FTW,John Oldham,Western Kentucky,2,127,,926,242,226,0.319,,0.627,,7.3,3.6,1.8,4.2,,,
1949,16,,INO,Leo Barnhorst,Notre Dame,5,344,7279,3232,1506,1116,0.368,,0.665,34.8,9.4,5.4,3.2,14.2,0.061,,
1949,17,,NYK,Harry Donovan,Muhlenberg College,1,45,,253,,38,0.327,,0.689,,5.6,,0.8,1,,,
1949,18,,PHW,Jim Nolan,Georgia Tech,1,5,,8,,4,0.19,,,,1.6,,0.8,-0.2,,,
1949,19,,ROC,Jack Coleman,Louisville,9,633,16479,6721,5186,1749,0.416,,0.695,33.1,10.6,9.2,2.8,47.7,0.107,,
1949,20,,STB,Johnny Orr,Beloit College,1,34,,92,,20,0.339,,0.857,,2.7,,0.6,-0.1,,,
1949,21,,WSC,Jim Owens,Baylor,,,,,,,,,,,,,,,,,
1949,22,,BLB,Paul Gordon,Notre Dame,1,4,,3,,3,0,,0.6,,0.8,,0.8,-0.1,,,
1949,23,,BOS,Joe Mullaney,Holy Cross,1,37,,30,,52,0.129,,0.8,,0.8,,1.4,-0.6,,,
1949,24,,CHS,Dike Eddleman,Illinois,4,267,3475,3224,915,551,0.352,,0.63,25.7,12.1,4.5,2.1,7.3,-0.003,,
1949,25,,FTW,Fred Schaus,West Virginia,5,334,6637,4070,1609,961,0.352,,0.823,33.5,12.2,6,2.9,31.4,0.105,,
1949,26,,INO,Mac Otten,Bowling Green,1,59,,142,,36,0.329,,0.494,,2.4,,0.6,0.3,,,
1949,27,,NYK,Ernie Vandeweghe,Colgate,6,224,3600,2135,834,548,0.421,,0.74,26.1,9.5,4.6,2.4,18.1,0.162,,
1949,28,,PHW,Nelson Bobb,Temple,4,227,2478,1052,405,488,0.35,,0.612,21.2,4.6,2.4,2.1,6,0.062,,
1949,29,,PRO,Ed Leede,Dartmouth College,2,121,,949,118,225,0.334,,0.719,,7.8,2.1,1.9,5.8,,,
1949,30,,FTW,Jerry Nagel,Loyola Chicago,1,14,,13,,18,0.214,,0.25,,0.9,,1.3,-0.1,,,
1949,31,,INO,Bob Evans,Butler,1,47,,142,,55,0.28,,0.682,,3,,1.2,-0.3,,,
1949,32,,PRO,Warren Perkins,Tulane,2,126,,767,319,257,0.309,,0.618,,6.1,4.8,2,3.1,,,
1949,33,,PRO,Ray Corley,Georgetown,3,102,65,442,82,174,0.304,,0.601,8.1,4.3,2,1.7,0.9,-0.265,,
1949,34,,STB,Earl Dodd,Truman State University,1,9,,15,,6,0.222,,0.6,,1.7,,0.7,-0.3,,,
1949,35,,WSC,Cliff Barker,Kentucky,3,149,494,557,181,294,0.316,,0.662,11.2,3.7,1.8,2,2,0.008,,
1949,36,,INO,Don Boven,Western Michigan,3,195,3355,1763,553,393,0.339,,0.706,25.2,9,4.2,2,7.4,0.052,,
1949,37,,STB,John Pritchard,Drake University,1,7,,22,,8,0.31,,0.364,,3.1,,1.1,-0.2,,,
1949,38,,BOS,Duane Klueh,Indiana State University,2,113,,924,183,173,0.362,,0.719,,8.2,3,1.5,6,,,
1949,39,,PRO,Bob Royer,Indiana State University,1,42,,197,,85,0.338,,0.707,,4.7,,2,0,,,
1949,40,,BLB,Bill Evans,Drake University,,,,,,,,,,,,,,,,,
1949,41,,BLB,Tom Gallagher,St. Francis College,,,,,,,,,,,,,,,,,
1949,42,,BLB,Jim McMullen,Xavier,,,,,,,,,,,,,,,,,
1949,43,,BLB,Eppa Rixey,Kenyon College,,,,,,,,,,,,,,,,,
1949,44,,BLB,Roger Wiley,Oregon,,,,,,,,,,,,,,,,,
1949,45,,BLB,Bill Zipple,Lafayette College,,,,,,,,,,,,,,,,,
1949,46,,BOS,Ed Little,Denver Junior College,,,,,,,,,,,,,,,,,
1949,47,,BOS,Jim Simpson,Bates College,,,,,,,,,,,,,,,,,
1949,48,,BOS,Emerson Speicher,Bowling Green,,,,,,,,,,,,,,,,,
1949,49,,BOS,Bill Tom,Rice University,,,,,,,,,,,,,,,,,
1949,50,,BOS,Bill Vandenburgh,Washington,,,,,,,,,,,,,,,,,
1949,51,,BOS,Russ Washburn,Colby College,,,,,,,,,,,,,,,,,
1949,52,,BOS,Bill Weight,BYU,,,,,,,,,,,,,,,,,
1949,53,,FTW,Dal Zuber,Toledo,,,,,,,,,,,,,,,,,
1949,54,,INO,Charlie Maas,Butler,,,,,,,,,,,,,,,,,
1949,55,,INO,Jim O'Halloran,Notre Dame,,,,,,,,,,,,,,,,,
1949,56,,INO,J.L. Parks,Oklahoma State,,,,,,,,,,,,,,,,,
1949,57,,MNL,Bob Harrison,Michigan,9,615,12926,4418,1358,1672,0.352,,0.693,26.9,7.2,2.5,2.7,13.2,0.024,,
1949,58,,MNL,Paul Walther,Tennessee,6,370,7258,2838,1168,974,0.362,,0.708,28.6,7.7,3.7,2.6,20.3,0.107,,
1949,59,,NYK,Don Bagley,Notre Dame,,,,,,,,,,,,,,,,,
1949,60,,NYK,Ken Kearns,Arkansas,,,,,,,,,,,,,,,,,
1949,61,,NYK,Bill Kleine,Missouri Valley College,,,,,,,,,,,,,,,,,
1949,62,,NYK,Bill Litchfield,Emporia State University,,,,,,,,,,,,,,,,,
1949,63,,NYK,Bob Prewitt,SMU,,,,,,,,,,,,,,,,,
1949,64,,PRO,Paul Courty,Oklahoma,,,,,,,,,,,,,,,,,
1949,65,,PRO,Carl Schaeffer,Alabama,,,,,,,,,,,,,,,,,
1949,66,,PRO,Bill Tanzler,Florida,,,,,,,,,,,,,,,,,
1949,67,,PRO,Jack Theolan,DePaul,,,,,,,,,,,,,,,,,
1949,68,,STB,Joe Crandall,Oregon State,,,,,,,,,,,,,,,,,
1949,69,,STB,Jack Davidson,Stanford,,,,,,,,,,,,,,,,,
1949,70,,STB,Bob Retherford,Nebraska,,,,,,,,,,,,,,,,,
